hispanic,citizen,black,exp,wage,female,education
0,1,1,12.7,11.666667,0,13
0,1,1,10.7,25.527604,0,13
0,1,0,12.7,24.444444,0,14
0,1,1,11.7,19.230769,0,13
1,0,0,13.74,7.0,0,7
0,1,0,13.0,10.016026,0,16
0,1,0,15.0,16.826923,0,16
0,0,0,10.7,19.230769,0,13
1,1,0,11.0,21.634615,0,18
0,1,0,10.0,20.744712,0,16
0,0,0,11.7,9.6153846,0,13
0,1,0,11.0,24.038462,0,18
0,1,0,15.0,16.203704,0,16
0,1,0,13.0,16.25,0,16
0,1,0,15.0,4.7058824,0,16
0,1,0,13.7,12.339592,0,13
0,1,0,13.0,19.230769,0,12
1,1,0,11.47,17.094017,0,11
0,1,0,14.7,9.6,0,13
0,1,0,15.0,19.063287,0,16
0,1,0,11.0,22.435897,0,16
0,1,0,11.0,4.6474359,0,12
0,1,0,14.0,16.346154,0,12
0,1,0,14.47,16.025641,0,11
0,1,0,13.0,18.2,0,16
1,0,0,11.47,5.7692308,0,11
1,0,0,12.0,4.5454545,0,14
0,1,0,12.7,20.408163,0,13
0,1,0,12.0,20.0,0,12
0,1,1,12.0,11.6,0,16
0,1,0,11.0,10.43956,0,16
0,1,0,11.7,14.583333,0,13
0,1,0,10.7,11.057692,0,13
0,1,0,13.0,15.384615,0,16
0,1,0,13.7,6.8055556,0,13
0,1,0,15.0,20.384615,0,16
0,1,0,13.0,11.851852,0,11
0,1,0,14.0,23.214286,0,12
1,0,0,14.74,6.5384615,0,7
0,1,0,11.0,23.981538,0,16
0,1,0,12.7,19.230769,0,13
0,1,0,10.7,18.269231,0,13
1,1,0,12.0,5.0,0,10
0,1,0,10.7,7.0,0,13
0,1,0,12.7,20.833333,0,13
0,1,0,14.7,19.111111,0,14
0,1,0,10.7,25.0,0,13
0,1,0,12.0,13.926499,0,16
0,1,0,12.7,15.224359,0,13
0,1,0,15.0,2.6666667,0,12
0,1,0,12.0,5.7692308,0,16
1,0,0,11.0,6.8181818,0,12
1,0,0,13.9,3.3670034,0,3
0,1,0,15.0,6.23125,0,16
0,0,0,12.0,13.076923,0,18
1,1,0,11.0,12.820513,0,12
0,1,0,13.7,18.269231,0,14
1,1,0,13.7,8.75,0,13
1,1,0,14.0,10.714286,0,11
0,0,0,10.0,11.694387,0,18
0,1,0,14.0,75.198462,0,16
0,1,0,13.0,17.948718,0,16
1,0,0,10.74,4.8828125,0,7
1,0,0,13.0,13.942308,0,12
1,0,0,10.74,5.952381,0,7
1,1,0,14.74,5.4534615,0,7
1,1,0,12.74,7.2115385,0,7
1,1,0,12.7,17.548077,0,13
1,1,0,15.0,16.346154,0,11
1,0,0,10.74,5.0,0,7
1,0,0,12.47,9.2391304,0,11
1,0,0,10.74,4.8076923,0,7
1,0,0,10.0,13.071895,0,11
1,0,0,12.74,7.7634615,0,7
0,1,1,14.47,8.5227273,0,11
1,1,1,10.0,13.333333,0,11
1,1,1,10.47,7.8125,0,11
0,1,0,14.0,3.75,0,10
0,1,1,14.7,9.6153846,0,13
1,0,0,13.0,7.5,0,10
1,0,0,12.0,6.25,0,12
1,1,0,14.0,6.0,0,12
0,1,0,13.0,12.0,0,12
0,1,0,11.0,21.153846,0,18
0,1,0,12.7,60.0,0,13
0,1,0,12.7,9.2307692,0,13
0,1,0,11.0,54.5,0,12
0,1,0,14.0,9.6153846,0,12
0,1,0,15.0,15.909091,0,12
1,1,0,12.0,19.230769,0,12
0,1,0,12.0,12.631579,0,16
0,1,0,14.0,32.051282,0,20
0,1,0,14.0,19.230769,0,16
0,1,0,12.0,14.423077,0,12
0,0,0,10.0,7.5231481,0,16
0,1,0,12.0,16.826923,0,12
1,1,0,12.7,11.057692,0,13
1,0,0,12.7,54.6875,0,13
1,0,0,15.0,26.923077,0,18
0,1,0,13.7,18.604651,0,13
1,1,0,11.0,8.75,0,12
1,1,0,10.7,63.333333,0,13
1,0,0,14.47,4.8076923,0,11
1,0,0,12.0,12.019231,0,11
1,1,0,15.0,15.384615,0,16
0,1,0,15.0,9.6858974,0,12
1,1,0,13.0,13.461538,0,14
1,1,0,14.7,14.035088,0,13
1,1,0,14.0,10.0,0,11
1,1,0,13.0,6.25,0,9
0,1,0,12.0,5.5777778,0,11
0,1,0,11.7,5.7692308,0,13
0,1,0,12.0,13.75,0,12
0,1,0,13.0,9.6153846,0,12
0,1,0,11.0,3.125,0,11
1,0,0,10.74,9.6153846,0,7
0,1,0,12.0,7.6923077,0,12
1,0,0,13.74,7.5555556,0,7
0,1,0,14.0,19.230769,0,16
1,0,0,14.0,3.5714286,0,12
0,1,0,13.0,13.846154,0,12
0,1,0,14.0,6.9711538,0,16
1,1,0,10.7,20.979021,0,14
1,1,0,14.47,12.019231,0,11
1,1,0,14.0,6.0096154,0,12
0,1,1,10.7,13.269231,0,13
0,0,0,15.0,9.8076923,0,16
1,0,0,13.7,14.583333,0,14
1,0,0,10.47,3.125,0,11
1,1,0,15.0,8.3333333,0,11
1,0,0,11.0,2.4,0,12
1,1,0,11.0,6.6980769,0,10
1,1,0,11.47,13.461538,0,11
0,1,0,10.0,15.024038,0,12
0,1,0,15.0,7.4519231,0,14
0,1,0,11.0,24.313725,0,16
1,0,0,12.74,3.8461538,0,7
0,1,0,11.7,9.9358974,0,13
0,1,0,10.0,16.826923,0,12
0,1,0,10.0,14.423077,0,12
0,1,0,10.0,14.402137,0,16
1,0,0,10.47,6.7307692,0,11
0,1,0,12.0,19.230769,0,16
1,0,0,14.9,10.0,0,3
1,1,0,11.0,20.3125,0,12
0,0,0,10.7,9.375,0,13
1,1,0,14.7,18.269231,0,13
0,1,0,10.0,9.0,0,12
0,1,0,15.0,10.576923,0,16
0,0,0,12.7,11.766538,0,13
0,0,0,13.0,13.461538,0,18
0,1,0,15.0,21.634615,0,16
0,1,0,11.7,19.230769,0,13
0,0,0,15.0,3.3333333,0,16
1,0,0,10.74,3.7980769,0,7
0,1,0,13.7,12.5,0,13
0,1,0,12.7,9.6153846,0,13
0,1,0,13.7,14.230769,0,13
0,1,0,13.0,6.9230769,0,18
0,1,0,10.47,6.0,0,11
1,0,0,13.74,10.416667,0,7
0,1,0,12.0,17.462981,0,18
0,1,0,15.0,26.442308,0,18
0,1,0,13.0,11.538462,0,16
0,0,0,14.7,8.2891247,0,13
0,1,0,15.0,26.442308,0,18
0,1,0,14.0,29.807692,0,16
0,1,0,10.0,14.423077,0,10
0,1,0,11.0,25.147929,0,16
0,1,0,14.7,15.811966,0,13
0,0,0,12.0,26.442308,0,16
1,1,0,10.0,14.903846,0,14
0,1,0,15.0,16.927235,0,12
0,1,0,10.7,13.704808,0,13
0,1,0,14.0,17.482517,0,16
0,1,0,12.0,43.269231,0,18
0,1,0,14.7,14.957265,0,13
1,1,0,15.0,13.986014,0,16
0,1,0,10.0,25.510204,0,18
0,1,0,13.0,20.08547,0,16
0,1,0,13.0,7.4786325,0,18
0,1,0,13.7,31.577404,0,13
0,1,0,10.0,22.875817,0,16
0,1,0,13.0,23.846154,0,16
0,1,1,13.7,8.1521739,0,14
0,1,1,13.7,10.576923,0,13
1,1,0,15.0,21.153846,0,16
0,1,0,13.7,10.650888,0,13
0,1,0,12.0,16.346154,0,11
0,1,1,10.0,29.166667,0,12
0,0,0,14.0,19.230769,0,18
1,1,0,11.74,7.0,0,7
1,0,0,14.0,9.6153846,0,12
0,1,0,15.0,14.807692,0,16
0,1,0,13.7,10.856079,0,13
1,0,0,11.0,8.0769231,0,10
1,1,0,10.0,7.5,0,12
1,0,0,11.47,12.675481,0,11
0,1,0,11.7,13.477089,0,13
0,1,0,11.0,15.384615,0,18
0,1,0,10.0,16.538462,0,16
0,1,1,12.0,12.721893,0,18
0,1,0,10.0,9.8958333,0,11
0,0,0,12.0,10.384615,0,16
1,0,0,14.7,5.4347826,0,13
0,1,0,12.0,93.998077,0,16
0,0,0,12.7,8.6538462,0,14
0,1,0,12.0,15.384615,0,18
0,1,0,10.7,34.285714,0,13
0,1,0,14.0,17.307692,0,14
1,1,0,14.0,16.826923,0,12
1,0,0,10.0,21.354167,0,9
0,1,1,12.0,12.5,0,11
0,1,1,11.7,5.2083333,0,14
1,1,0,13.74,10.0,0,7
1,0,0,14.9,3.8461538,0,3
1,1,0,10.0,3.75,0,12
1,1,0,12.47,8.6538462,0,11
1,0,0,13.0,6.25,0,9
1,0,0,10.74,2.5,0,7
1,1,0,13.74,8.3333333,0,7
1,1,0,10.0,1.8666667,0,12
1,1,0,11.0,6.25,0,12
1,0,0,11.9,5.2884615,0,3
0,1,0,12.0,5.0,0,16
1,0,0,13.0,5.3205128,0,10
1,1,0,13.0,9.009009,0,11
1,0,0,10.74,6.25,0,7
1,1,0,15.0,23.809524,0,18
1,0,0,13.9,5.0,0,3
1,1,0,12.7,9.5673077,0,13
1,0,0,12.74,5.7692308,0,7
1,0,0,11.74,5.2884615,0,7
1,0,0,15.0,11.538462,0,12
1,0,0,11.74,8.6538462,0,7
0,1,1,13.47,5.5555556,0,11
1,0,0,12.9,6.5104167,0,3
1,0,0,14.0,5.0,0,0
1,0,0,11.7,3.4615385,0,13
1,0,0,11.74,4.8076923,0,7
1,0,0,10.7,3.9772727,0,13
1,0,0,14.47,10.576923,0,11
1,1,0,15.0,3.8461538,0,0
1,0,0,12.47,5.4166667,0,11
1,0,0,14.47,4.8076923,0,11
1,1,0,11.74,4.0865385,0,7
1,0,0,14.74,4.7604167,0,7
0,1,1,13.7,13.208654,0,13
1,0,0,15.0,12.980769,0,12
0,1,1,11.7,4.8076923,0,13
0,1,1,13.0,14.632107,0,16
0,1,1,15.0,4.1666667,0,12
0,1,1,14.0,9.7777778,0,12
0,1,1,10.7,6.9444444,0,13
1,0,0,10.47,7.9268293,0,11
1,0,0,11.0,5.2884615,0,12
1,0,0,11.0,5.46875,0,9
0,1,1,10.7,7.5231481,0,13
0,1,1,13.7,11.538462,0,13
0,1,1,12.7,4.504,0,13
0,1,1,10.0,9.29375,0,12
1,0,0,14.74,4.1666667,0,7
1,0,0,14.74,9.0,0,7
0,1,1,12.7,17.307692,0,13
0,1,1,11.0,12.019231,0,12
0,1,1,11.0,19.230769,0,14
1,1,0,12.0,5.8333333,0,9
0,0,0,11.0,21.0,0,16
1,0,0,12.9,3.2708333,0,3
0,0,0,11.0,12.820513,0,12
1,0,0,11.7,8.5737179,0,13
0,1,1,13.7,1.25,0,13
0,0,0,10.7,15.238095,0,13
1,0,0,12.0,4.1666667,0,12
1,0,0,14.0,5.2884615,0,10
0,0,0,12.7,7.183,0,13
0,1,0,15.0,11.452991,0,12
0,0,0,11.0,6.6666667,0,16
1,0,0,14.0,5.6578947,0,12
1,1,0,13.47,1.8465909,0,11
0,1,0,10.0,8.2417582,0,12
0,1,1,14.7,18.269231,0,13
0,1,0,14.7,14.423077,0,13
0,1,0,11.0,13.071895,0,16
0,1,0,11.7,8.3333333,0,13
1,1,0,14.0,7.2115385,0,12
0,1,0,12.0,35.478261,0,16
0,1,0,11.0,15.384615,0,16
0,1,1,11.7,9.2307692,0,13
0,1,0,14.7,7.3529412,0,14
0,0,0,12.0,9.5652174,0,18
1,0,0,14.47,8.6805556,0,11
1,0,0,13.0,15.635938,0,10
1,0,0,15.0,6.7307692,0,12
0,1,0,14.7,8.1307692,0,13
1,0,0,10.0,5.2447552,0,9
1,0,0,15.0,2.0,0,12
0,1,0,11.7,16.826923,0,14
1,0,0,11.0,15.625,0,9
1,0,0,12.9,2.8846154,0,3
0,1,0,14.0,28.888889,0,16
0,1,0,14.0,9.6153846,0,12
1,0,0,15.0,9.2307692,0,12
1,0,0,12.7,187.99615,0,13
0,0,0,11.0,17.307692,0,16
1,0,0,12.74,7.5,0,7
0,1,0,13.7,4.9952381,0,13
0,1,0,11.7,97.758,0,13
0,1,0,15.0,38.461538,0,14
0,1,0,14.0,26.923077,0,16
0,1,0,14.0,62.665385,0,18
0,1,0,13.0,53.846154,0,18
0,1,0,14.0,32.051282,0,18
0,0,0,12.7,250.66154,0,13
0,1,0,11.0,11.538462,0,16
1,1,0,10.0,15.104167,0,10
1,1,0,10.7,14.102564,0,13
0,1,0,10.0,7.0041667,0,12
0,1,0,13.0,14.423077,0,16
0,1,0,11.7,9.0222222,0,13
0,0,1,10.7,22.115385,0,14
0,1,0,12.0,25.0,0,12
1,0,0,14.74,5.7692308,0,7
0,1,0,12.0,6.0810811,0,12
0,0,0,13.0,9.5238095,0,18
0,1,0,13.0,14.807692,0,14
0,1,0,12.0,17.671518,0,12
0,1,0,10.7,11.045673,0,13
1,1,0,13.0,4.6945312,0,12
1,0,0,11.0,8.0,0,12
1,0,0,14.74,4.8076923,0,7
1,1,0,10.0,6.7708333,0,10
1,1,0,14.0,15.626894,0,16
0,0,0,10.7,13.888889,0,13
0,1,0,15.0,9.1346154,0,12
0,1,0,11.0,45.673077,0,18
0,1,1,15.0,11.855012,0,12
1,0,0,13.0,10.302198,0,11
1,0,0,13.0,3.6617187,0,12
0,1,0,13.7,38.0,0,13
0,1,0,12.0,12.019231,0,12
1,1,0,11.7,10.576923,0,13
0,1,0,10.7,9.5238095,0,13
0,1,0,13.7,21.875,0,14
1,0,0,11.74,5.46875,0,7
1,0,0,12.0,6.5,0,9
0,1,0,13.0,9.6153846,0,16
0,1,0,15.0,28.846154,0,18
0,1,0,12.0,12.063077,0,12
1,1,1,10.0,4.25,0,10
1,1,0,11.0,10.096154,0,10
0,1,0,10.47,15.384615,0,11
0,1,0,13.7,14.423077,0,13
1,1,0,11.9,2.6315789,0,3
0,1,0,11.0,6.6666667,0,12
0,1,0,15.0,9.9611111,0,16
0,1,0,10.0,42.735043,0,16
0,1,0,11.0,26.201923,0,16
0,1,0,15.0,28.365385,0,16
0,1,0,10.0,20.652174,0,12
0,1,0,11.0,9.6153846,0,14
0,0,0,10.0,21.923077,0,16
0,1,0,12.0,9.6153846,0,9
0,1,0,10.0,14.583333,0,12
1,1,0,14.7,20.08547,0,13
0,1,0,11.7,15.0,0,14
0,0,0,13.7,9.6153846,0,13
1,1,0,13.0,4.5,0,0
0,1,0,13.7,8.6734694,0,13
0,1,0,12.0,12.393162,0,16
0,1,0,15.0,16.0,0,16
0,1,0,13.7,26.538462,0,13
0,1,0,11.0,17.307692,0,16
0,1,0,12.0,23.076923,0,16
1,0,0,10.0,3.3936652,0,12
0,1,0,11.47,20.75,0,11
1,1,0,13.7,14.655172,0,13
1,0,0,11.0,3.6057692,0,11
0,1,0,15.0,10.576923,0,12
0,1,0,11.47,7.2115385,0,11
0,0,0,10.74,4.6153846,0,7
0,1,0,12.7,16.528365,0,13
0,1,0,11.7,13.461538,0,13
0,1,0,14.7,10.48951,0,13
1,1,0,15.0,14.423077,0,12
0,1,0,12.7,16.346154,0,13
0,1,0,14.7,16.666667,0,14
0,1,0,11.7,14.423077,0,14
1,0,0,12.7,3.8095238,0,14
0,1,0,10.0,28.846154,0,16
0,1,0,14.7,10.434783,0,13
0,0,0,11.7,27.350427,0,13
0,1,0,12.0,25.961538,0,18
0,1,0,10.7,21.538462,0,13
0,0,0,15.0,16.025641,0,18
1,0,0,12.74,8.6538462,0,7
0,1,0,14.0,8.2301282,0,11
0,1,0,15.0,4.6798246,0,16
0,1,0,14.7,12.980769,0,13
0,1,0,10.0,21.24183,0,18
0,1,0,14.0,20.960165,0,16
0,1,0,10.0,13.990385,0,16
0,1,0,14.0,17.080745,0,16
1,1,0,12.0,18.589103,0,18
0,1,1,10.7,11.538462,0,13
0,1,0,11.7,23.211138,0,13
0,0,0,15.0,16.3064,0,16
1,1,0,12.0,13.461538,0,12
1,0,0,13.74,6.25,0,7
1,1,0,10.7,6.9662222,0,13
1,1,0,11.0,10.096154,0,10
0,1,0,10.0,3.125,0,11
0,1,0,10.47,12.019231,0,11
0,1,0,11.0,16.826923,0,16
0,1,0,15.0,13.461538,0,16
0,0,0,11.0,13.461538,0,14
0,1,1,13.7,11.538462,0,13
0,1,1,10.7,7.2115385,0,13
0,1,0,14.0,16.923077,0,18
0,1,0,10.7,14.86014,0,13
0,1,1,11.7,12.5,0,13
0,1,1,10.47,4.3269231,0,11
1,0,0,12.0,2.6041667,0,18
0,1,0,12.0,5.83125,0,18
0,1,0,11.0,11.965812,0,9
0,1,1,13.7,5.625,0,13
0,1,0,14.7,20.032051,0,13
0,1,0,11.0,11.057692,0,18
1,0,0,12.7,15.0,0,13
0,1,0,12.7,11.111111,0,13
0,1,0,11.0,16.826923,0,16
