year,countryname,countrycode,gdp,gdppc,co2,co2pc,population,oecd
2010,Zambia,ZMB,9799629000.0,741.4421,2427.554,0.18366927,13216985,0.0
2010,French Polynesia,PYF,,,883.747,3.296764,268065,0.0
2010,Monaco,MCO,,,,,36845,0.0
2010,Ukraine,UKR,90577255848.0,1974.6212,304804.72,6.644867,45870700,0.0
2010,"Venezuela, RB",VEN,175000000000.0,6010.027,201747.34,6.946437,29043283,0.0
2010,Romania,ROM,112000000000.0,5233.163,78745.16,3.6731577,21438001,0.0
2010,Saudi Arabia,SAU,436000000000.0,15994.78,464480.56,17.039913,27258387,0.0
2010,Malawi,MWI,3290262502.0,219.15076,1239.446,0.08255437,15013694,0.0
2010,Moldova,MDA,3501430332.0,982.9785,4855.108,1.3630049,3562062,0.0
2010,West Bank and Gaza,WBG,,,2365.215,0.62061185,3811102,0.0
2010,Cuba,CUB,55436887631.0,4913.8477,38364.152,3.4005444,11281768,0.0
2010,Benin,BEN,5230812508.0,550.04456,5188.805,0.54562724,9509798,0.0
2010,Turks and Caicos Islands,TCA,,,161.348,5.20595,30993,0.0
2010,Nepal,NPL,10103288981.0,376.34222,3755.008,0.13987207,26846016,0.0
2010,Latvia,LVA,15502642580.0,6923.8887,7616.359,3.4016666,2239008,0.0
2010,Eritrea,ERI,1056636372.0,184.04584,513.38,0.08942097,5741159,0.0
2010,Trinidad and Tobago,TTO,18988955441.0,14297.89,50681.605,38.16113,1328095,0.0
2010,Tonga,TON,268854243.0,2582.7034,157.681,1.514736,104098,0.0
2010,Cambodia,KHM,8693197236.0,605.168,4180.38,0.29101288,14364931,0.0
2010,Belarus,BLR,42939088225.0,4524.667,62221.656,6.5565495,9490000,0.0
2010,"Macao SAR, China",MAC,20684077559.0,38688.875,1030.427,1.9273791,534626,0.0
2010,Algeria,DZA,117000000000.0,3146.7188,123475.23,3.3315117,37062820,0.0
2010,Costa Rica,CRI,25017792423.0,5357.49,7770.373,1.6640037,4669685,0.0
2010,Swaziland,SWZ,2917342648.0,2445.0803,1023.093,0.8574737,1193148,0.0
2010,Sudan,SDN,35822262376.0,785.69775,14172.955,0.3108586,35652002,0.0
2010,Rwanda,RWA,3818993880.0,352.41196,594.054,0.054818556,10836732,0.0
2010,Syrian Arab Republic,SYR,36613976515.0,1700.3937,61858.62,2.872783,21532647,0.0
2010,India,IND,1250000000000.0,1034.2408,2008822.9,1.6662092,1205624648,0.0
2010,St. Vincent and the Grenadines,VCT,591892928.9,5414.513,209.019,1.9120623,109316,0.0
2010,Qatar,QAT,92687851406.0,52973.176,70531.08,40.310085,1749713,0.0
2010,Colombia,COL,183000000000.0,3937.8672,75679.55,1.6294515,46444798,0.0
2010,Russian Federation,RUS,909000000000.0,6385.6606,1740776.2,12.225496,142389000,0.0
2010,Central African Republic,CAF,1895403785.0,435.7329,264.024,0.060696274,4349921,0.0
2010,Libya,LBY,,,59035.03,9.773022,6040612,0.0
2010,Singapore,SGP,169000000000.0,33380.938,13520.229,2.6631925,5076700,0.0
2010,Bhutan,BTN,1287238647.0,1795.4647,476.71,0.6649241,716939,0.0
2010,Northern Mariana Islands,MNP,,,,,53860,0.0
2010,Burkina Faso,BFA,7105465610.0,457.22882,1683.153,0.10830902,15540284,0.0
2010,"Egypt, Arab Rep.",EGY,121000000000.0,1550.2406,204776.28,2.6227913,78075705,0.0
2010,Sao Tome and Principe,STP,144835069.6,812.6393,99.009,0.55551875,178228,0.0
2010,Marshall Islands,MHL,147320122.0,2809.9512,102.676,1.9584192,52428,0.0
2010,Brazil,BRA,1100000000000.0,5618.3247,419754.16,2.150268,195210154,0.0
2010,Cape Verde,CPV,1532903134.0,3143.7654,355.699,0.72948784,487601,0.0
2010,Kosovo,KSV,4776327556.0,2689.8584,,,1775680,0.0
2010,Jamaica,JAM,,,7157.984,2.6499274,2701200,0.0
2010,American Samoa,ASM,,,,,55636,0.0
2010,Curacao,CUW,,,,,143784,0.0
2010,Namibia,NAM,8902636343.0,4085.714,3175.622,1.4573979,2178967,0.0
2010,Philippines,PHL,131000000000.0,1403.3064,81590.75,0.87314826,93444322,0.0
2010,Uganda,UGA,13362034649.0,393.14886,3784.344,0.11134611,33987213,0.0
2010,Malaysia,MYS,179000000000.0,6318.9014,216804.05,7.667467,28275835,0.0
2010,Fiji,FJI,3032066121.0,3523.3682,1290.784,1.4999367,860559,0.0
2010,Guam,GUM,,,,,159440,0.0
2010,Seychelles,SYC,1138398917.0,12681.284,704.064,7.8429766,89770,0.0
2010,El Salvador,SLV,18341273340.0,2949.6138,6248.568,1.0048845,6218195,0.0
2010,Thailand,THA,210000000000.0,3163.9038,295281.5,4.4468555,66402316,0.0
2010,Lao PDR,LAO,4021824832.0,628.83136,1873.837,0.2929833,6395713,0.0
2010,Sri Lanka,LKA,33253082140.0,1610.0848,12709.822,0.61539835,20653000,0.0
2010,Mauritius,MUS,7826157632.0,6109.7754,4118.041,3.2148988,1280924,0.0
2010,Pakistan,PAK,130000000000.0,748.0105,161395.67,0.9321185,173149306,0.0
2010,South Africa,ZAF,290000000000.0,5794.2363,460124.16,9.204084,49991300,0.0
2010,Faeroe Islands,FRO,,,711.398,14.348198,49581,0.0
2010,Afghanistan,AFG,10243250246.0,360.70563,8236.082,0.29002523,28397812,0.0
2010,Guyana,GUY,918902044.8,1168.8992,1701.488,2.164396,786126,0.0
2010,Mozambique,MOZ,9127794919.0,380.84424,2882.262,0.12025828,23967265,0.0
2010,Oman,OMN,41930341498.0,14960.333,57201.53,20.408943,2802768,0.0
2010,Montenegro,MNE,2803866144.0,4521.796,2581.568,4.1632957,620078,0.0
2010,Mongolia,MNG,3453733410.0,1273.154,11510.713,4.2432084,2712738,0.0
2010,St. Lucia,LCA,1067166275.0,6015.6953,403.37,2.2738266,177397,0.0
2010,"Iran, Islamic Rep.",IRN,,,571611.94,7.676527,74462314,0.0
2010,Uzbekistan,UZB,21491158366.0,752.4283,104443.49,3.6566777,28562400,0.0
2010,Tunisia,TUN,40161154597.0,3807.0693,25878.02,2.453102,10549100,0.0
2010,United Arab Emirates,ARE,204000000000.0,24219.297,167596.56,19.853798,8441537,0.0
2010,Comoros,COM,413107576.0,604.771,139.346,0.2039963,683081,0.0
2010,"Yemen, Rep.",YEM,20710400137.0,909.827,21851.652,0.9599633,22763008,0.0
2010,New Caledonia,NCL,,,3920.023,15.6805935,249992,0.0
2010,Maldives,MDV,1518834121.0,4663.3774,1074.431,3.298897,325694,0.0
2010,Palau,PLW,171792215.1,8392.39,216.353,10.569272,20470,0.0
2010,Paraguay,PRY,11148152795.0,1725.7948,5075.128,0.78565747,6459721,0.0
2010,Madagascar,MDG,5804539998.0,275.3638,2013.183,0.09550416,21079532,0.0
2010,Kazakhstan,KAZ,77245319067.0,4732.216,248728.94,15.237675,16323287,0.0
2010,Lithuania,LTU,27346902406.0,8320.17,13560.566,4.1257405,3286820,0.0
2010,South Sudan,SSD,,,,,9940929,0.0
2010,Guatemala,GTM,32556756309.0,2270.0962,11118.344,0.7752526,14341576,0.0
2010,Liberia,LBR,960255604.2,242.61194,799.406,0.20197272,3957990,0.0
2010,Lesotho,LSO,1766292382.0,879.2244,18.335,0.00912679,2008921,0.0
2010,Cameroon,CMR,19209829593.0,931.41534,7234.991,0.3507986,20624343,0.0
2010,Lebanon,LBN,29991683920.0,6908.788,20403.188,4.7000127,4341092,0.0
2010,Nicaragua,NIC,7290785418.0,1252.2369,4547.08,0.7809888,5822209,0.0
2010,Guinea-Bissau,GNB,676484295.8,426.36713,238.355,0.15022779,1586624,0.0
2010,Antigua and Barbuda,ATG,1009445957.0,11571.836,513.38,5.885158,87233,0.0
2010,"Congo, Rep.",COG,7852666838.0,1909.8276,2027.851,0.49318862,4111715,0.0
2010,"Congo, Dem. Rep.",ZAR,9438751813.0,151.76999,3039.943,0.04888063,62191161,0.0
2010,Turkmenistan,TKM,13272745852.0,2632.4392,53054.156,10.522453,5041995,0.0
2010,Jordan,JOR,17030688372.0,2816.8523,20821.227,3.4438019,6046000,0.0
2010,Papua New Guinea,PNG,6553203636.0,955.42444,3135.285,0.4571089,6858945,0.0
2010,Mauritania,MRT,2835163755.0,785.4901,2214.868,0.6136354,3609420,0.0
2010,China,CHN,3840000000000.0,2869.0938,8286892.0,6.1948576,1337705000,0.0
2010,Honduras,HND,11546149370.0,1515.0033,8107.737,1.0638394,7621204,0.0
2010,"Micronesia, Fed. Sts.",FSM,246418335.6,2378.1191,102.676,0.9908993,103619,0.0
2010,Bosnia and Herzegovina,BIH,12803068421.0,3328.9924,31125.496,8.093102,3845929,0.0
2010,Tajikistan,TJK,3181403840.0,417.10605,2860.26,0.37500167,7627326,0.0
2010,Senegal,SEN,10366034228.0,800.4311,7058.975,0.5450708,12950564,0.0
2010,Belize,BLZ,1277466194.0,4139.6206,421.705,1.3665322,308595,0.0
2010,Bermuda,BMU,4975071875.0,76393.83,476.71,7.3200355,65124,0.0
2010,Angola,AGO,50371160616.0,2576.6455,30417.766,1.5559657,19549124,0.0
2010,Burundi,BDI,1391766915.0,150.74236,308.028,0.03336253,9232753,0.0
2010,Sierra Leone,SLE,2130751273.0,370.43814,689.396,0.11985377,5751976,0.0
2010,Uruguay,URY,22990234866.0,6818.018,6644.604,1.9705336,3371982,0.0
2010,Suriname,SUR,2188868338.0,4169.591,2383.55,4.540441,524960,0.0
2010,Armenia,ARM,7611465936.0,2568.4077,4220.717,1.4242358,2963496,0.0
2010,Bangladesh,BGD,81471733197.0,539.0999,56152.77,0.3715639,151125475,0.0
2010,Bahrain,BHR,17792456287.0,14216.757,24202.2,19.338352,1251513,0.0
2010,Bolivia,BOL,11954060130.0,1176.9745,15456.405,1.5218089,10156601,0.0
2010,Cayman Islands,CYM,,,590.387,10.635879,55509,0.0
2010,Dominican Republic,DOM,47848657632.0,4776.8423,20964.238,2.0929084,10016797,0.0
2010,Isle of Man,IMY,,,,,83992,0.0
2010,Chad,TCD,8425171572.0,718.82336,469.376,0.04004648,11720781,0.0
2010,Kyrgyz Republic,KGZ,3055806771.0,560.9146,6398.915,1.1745654,5447900,0.0
2010,Tanzania,TZA,19720449299.0,451.5468,6846.289,0.15222998,44973330,0.0
2010,Somalia,SOM,,,608.722,0.063170515,9636173,0.0
2010,Haiti,HTI,4307682995.0,435.27777,2119.526,0.21417141,9896400,0.0
2010,Kiribati,KIR,110681568.6,1132.3734,62.339,0.6377848,97743,0.0
2010,Guinea,GIN,3267609255.0,300.44128,1235.779,0.11362406,10876033,0.0
2010,Niger,NER,4381636015.0,275.683,1411.795,0.08882707,15893746,0.0
2010,Cote d'Ivoire,CIV,18217368879.0,959.9918,5804.861,0.30589592,18976588,0.0
2010,Gabon,GAB,9684595588.0,6223.1455,2574.234,1.654156,1556222,0.0
2010,Sint Maarten (Dutch part),SXM,,,,,37850,0.0
2010,Nigeria,NGA,159000000000.0,995.6802,78910.17,0.49409097,159707780,0.0
2010,Peru,PER,112000000000.0,3834.7524,57579.234,1.9676577,29262830,0.0
2010,Argentina,ARG,,,180511.73,4.470965,40374224,0.0
2010,"Macedonia, FYR",MKD,7140170814.0,3396.4973,10872.655,5.171997,2102216,0.0
2010,Morocco,MAR,75523499824.0,2348.586,50608.266,1.5993835,31642360,0.0
2010,Liechtenstein,LIE,,,,,36120,0.0
2010,Djibouti,DJI,,,539.049,0.64631385,834036,0.0
2010,Bulgaria,BGR,32991740544.0,4378.879,44678.727,5.9300523,7534289,0.0
2010,Cyprus,CYP,19207097486.0,23156.537,7708.034,6.9839077,1103685,0.0
2010,Channel Islands,CHI,,,,,159518,0.0
2010,Ecuador,ECU,48764673105.0,3250.7458,32636.3,2.175598,15001072,0.0
2010,Zimbabwe,ZWE,5120294858.0,391.55032,9427.857,0.7209507,13076978,0.0
2010,Kenya,KEN,23516785868.0,574.85333,12427.463,0.30378166,40909194,0.0
2010,Brunei Darussalam,BRN,9849702194.0,24589.277,9160.166,22.867886,400569,0.0
2010,Vanuatu,VUT,503575271.4,2131.0935,117.344,0.49659118,236299,0.0
2010,"Hong Kong SAR, China",HKG,220000000000.0,31336.082,36288.633,5.1662297,7024200,0.0
2010,Dominica,DMA,459398784.9,6455.222,135.679,1.9064876,71167,0.0
2010,Iraq,IRQ,45092292873.0,1456.3574,114667.09,3.7034328,30962380,0.0
2010,Albania,ALB,10725150216.0,3404.655,4283.056,1.3596386,3150143,0.0
2010,Panama,PAN,23122824847.0,6286.574,9633.209,2.6190522,3678128,0.0
2010,Barbados,BRB,4033125825.0,14383.678,1503.47,5.3619523,280396,0.0
2010,Timor-Leste,TMP,732847298.6,641.44073,183.35,0.16048113,1142502,0.0
2010,Vietnam,VNM,78282167938.0,900.4937,150229.66,1.7281184,86932500,0.0
2010,Puerto Rico,PRI,77337254438.0,20782.836,,,3721208,0.0
2010,St. Martin (French part),MAF,,,,,30235,0.0
2010,San Marino,SMR,,,,,30861,0.0
2010,"Bahamas, The",BHS,7575468595.0,21013.898,2464.224,6.835611,360498,0.0
2010,Serbia,SRB,27879217077.0,3823.5564,45962.18,6.3035836,7291436,0.0
2010,Andorra,ADO,,,517.047,6.6367207,77907,0.0
2010,Myanmar,MMR,,,8995.151,0.17321274,51931231,0.0
2010,Kuwait,KWT,86235752843.0,28826.156,93695.516,31.319742,2991580,0.0
2010,Malta,MLT,6652772997.0,15992.435,2588.902,6.223397,415995,0.0
2010,Croatia,HRV,46279296510.0,10475.644,20883.564,4.7271414,4417800,0.0
2010,Samoa,WSM,425313171.7,2286.2734,161.348,0.86732715,186029,0.0
2010,St. Kitts and Nevis,KNA,548826297.7,10483.388,249.356,4.7630653,52352,0.0
2010,Grenada,GRD,672704074.1,6426.4746,260.357,2.4872417,104677,0.0
2010,Greenland,GRL,,,634.391,11.148247,56905,0.0
2010,Aruba,ABW,,,2321.211,22.84724,101597,0.0
2010,Ghana,GHA,14804825657.0,610.18365,8998.818,0.37088796,24262901,0.0
2010,"Korea, Dem. Rep.",PRK,,,71623.84,2.92336,24500520,0.0
2010,Equatorial Guinea,GNQ,9718622518.0,13960.188,4679.092,6.7212205,696167,0.0
2010,Mali,MLI,6971653981.0,498.47516,623.39,0.044572555,13985961,0.0
2010,"Gambia, The",GMB,784275580.7,466.65292,473.043,0.28146598,1680640,0.0
2010,Indonesia,IDN,378000000000.0,1570.153,433989.44,1.8032067,240676485,0.0
2010,Solomon Islands,SLB,555854393.5,1055.8601,201.685,0.383106,526447,0.0
2010,Botswana,BWA,12116816309.0,6152.7266,5232.809,2.6571372,1969341,0.0
2010,Tuvalu,TUV,23813390.63,2423.2615,,,9827,0.0
2010,Georgia,GEO,8241335083.0,1850.8208,6241.234,1.4016426,4452800,0.0
2010,Ethiopia,ETH,19946243845.0,229.01636,6494.257,0.07456497,87095281,0.0
2010,Virgin Islands (U.S.),VIR,,,,,106267,0.0
2010,Azerbaijan,AZE,28310397707.0,3126.724,45731.156,5.050749,9054332,0.0
2010,Togo,TGO,2477350119.0,392.85516,1540.14,0.24423352,6306014,0.0
2010,Belgium,BEL,400000000000.0,36742.01,108946.57,9.999147,10895586,1.0
2010,Netherlands,NLD,683000000000.0,41110.25,182077.55,10.9583645,16615394,1.0
2010,Norway,NOR,316000000000.0,64589.977,57186.863,11.6964445,4889252,1.0
2010,Luxembourg,LUX,40696164752.0,80276.01,10828.651,21.360266,506953,1.0
2010,Germany,DEU,2950000000000.0,36127.047,745383.75,9.114841,81776930,1.0
2010,Czech Republic,CZE,148000000000.0,14112.9,111751.83,10.623007,10519792,1.0
2010,Switzerland,CHE,428000000000.0,54642.664,38756.523,4.952968,7824909,1.0
2010,Sweden,SWE,402000000000.0,42825.668,52515.105,5.5997443,9378126,1.0
2010,Japan,JPN,4650000000000.0,36472.848,1170715.4,9.185651,127450459,1.0
2010,"Korea, Rep.",KOR,1020000000000.0,20625.1,567567.25,11.486891,49410000,1.0
2010,Chile,CHL,148000000000.0,8610.022,72258.234,4.2131214,17150760,1.0
2010,Australia,AUS,799000000000.0,36202.844,373080.6,16.908022,22065300,1.0
2010,Spain,ESP,1180000000000.0,25595.99,269674.84,5.8534656,46070971,1.0
2010,Austria,AUT,326000000000.0,38803.234,66897.08,7.973648,8389771,1.0
2010,Hungary,HUN,109000000000.0,10926.469,50582.598,5.058248,10000023,1.0
2010,United Kingdom,GBR,2360000000000.0,37899.32,493504.88,7.9250927,62271177,1.0
2010,Ireland,IRL,207000000000.0,46214.957,39999.637,8.939753,4474356,1.0
2010,France,FRA,2200000000000.0,33898.38,361272.84,5.555374,65031235,1.0
2010,Iceland,ISL,16388130235.0,51528.355,1961.845,6.1685286,318041,1.0
2010,Turkey,TUR,565000000000.0,7833.529,298002.44,4.1310306,72137546,1.0
2010,Portugal,PRT,197000000000.0,18535.13,52361.094,4.9223833,10637346,1.0
2010,Israel,ISR,165000000000.0,21696.613,70655.76,9.26803,7623600,1.0
2010,Denmark,DNK,257000000000.0,46379.664,46303.21,8.346405,5547683,1.0
2010,Mexico,MEX,957000000000.0,8117.3516,443674.0,3.7635722,117886404,1.0
2010,Slovenia,SVN,39034227961.0,19054.258,15328.06,7.4822745,2048583,1.0
2010,New Zealand,NZL,119000000000.0,27257.096,31550.867,7.223515,4367800,1.0
2010,Greece,GRC,241000000000.0,21310.186,86717.22,7.6689987,11307502,1.0
2010,Poland,POL,383000000000.0,10035.851,317254.2,8.308632,38183683,1.0
2010,Canada,CAN,1200000000000.0,35277.27,499137.38,14.626073,34126547,1.0
2010,Estonia,EST,13897254467.0,10369.84,18338.668,13.6839285,1340161,1.0
2010,United States,USA,13600000000000.0,43952.445,5433056.5,17.564163,309326225,1.0
2010,Slovak Republic,SVK,76899962691.0,14161.798,36094.28,6.647076,5430099,1.0
2010,Finland,FIN,204000000000.0,38064.652,61843.953,11.53084,5363352,1.0
2010,Italy,ITA,1760000000000.0,29163.146,406307.28,6.7176676,60483385,1.0
